role_category,total,male,female,unknown,female_share_percent,male_share_percent,unknown_share_percent
Activist,58,15,19,24,32.76,25.86,41.38
Authoritarian ruler,27,21,0,6,0.00,77.78,22.22
Chancellor,5,1,1,3,20.00,20.00,60.00
Crown Prince,1,0,0,1,0.00,0.00,100.00
Economist,15,10,0,5,0.00,66.67,33.33
Emperor,1,0,0,1,0.00,0.00,100.00
Head of government,35,20,5,10,14.29,57.14,28.57
Head of state,85,53,9,23,10.59,62.35,27.06
Historical Leader,1,0,0,1,0.00,0.00,100.00
Jurist,8,4,4,0,50.00,50.00,0.00
King,1,0,0,1,0.00,0.00,100.00
Political Leader,21,9,3,9,14.29,42.86,42.86
Politician,67,17,34,16,50.75,25.37,23.88
Revolutionary,29,13,2,14,6.90,44.83,48.28
Thinker,108,48,18,42,16.67,44.44,38.89
Writer,38,10,11,17,28.95,26.32,44.74
