metric,value,description
profile_count,500,Total number of reference profiles.
ideology_family_count,31,Number of ideology families represented.
taxonomy_family_count,33,Number of ideology families covered by the taxonomy.
missing_taxonomy_family_count,0,Profile ideology families missing from taxonomy.
role_category_count,16,Number of role categories represented.
country_code_count,97,Number of country codes represented.
century_count,7,Number of century buckets represented.
alias_count,96,Number of ideology alias mappings.
male_count,221,Profiles coded as male.
female_count,106,Profiles coded as female.
unknown_gender_count,173,Profiles coded as unknown gender.
female_share_percent,21.20,Share of profiles coded as female.
high_confidence_count,23,Profiles marked as high confidence.
medium_confidence_count,407,Profiles marked as medium confidence.
low_confidence_count,70,Profiles marked as low confidence.
low_confidence_share_percent,14.00,Share of low-confidence profiles.
average_x,-0.828,Average economic coordinate.
average_y,-0.584,Average social-authority coordinate.
average_ux,0.716,Average x-axis uncertainty.
average_uy,0.669,Average y-axis uncertainty.
left_libertarian_count,280,Profiles in the left-libertarian quadrant.
left_authoritarian_count,73,Profiles in the left-authoritarian quadrant.
right_libertarian_count,45,Profiles in the right-libertarian quadrant.
right_authoritarian_count,102,Profiles in the right-authoritarian quadrant.
